contentid,title,class,area,sigungu,addr,tel,firstimage,firstimage2
2465071,가경재 ,한옥,경상북도,안동시,경상북도 안동시 하회남촌길 69-5,054-855-8552,http://tong.visitkorea.or.kr/cms/resource/00/2626200_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2626200_image3_1.jpg
142785,가락관광호텔,관광호텔,서울특별시,송파구,서울특별시 송파구 송파대로28길 5,02-400-6641~3,,
2671267,가락청,한옥,전북특별자치도,전주시,전북특별자치도 전주시 완산구 한지길 68,,,
2627867,가람나무,한옥,경기도,파주시,경기도 파주시 소라지로327번길 126-21,,,
1865597,가람초연재,한옥,경상북도,안동시,경상북도 안동시 풍천면 하회종가길 76-6,010-3849-7542,http://tong.visitkorea.or.kr/cms/resource/48/2993048_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/2993048_image3_1.jpg
1896032,가름게스트하우스,펜션,제주특별자치도,서귀포시,제주특별자치도 서귀포시 법환하로9번길 10,064-739-4499,,
2571998,가리벨리 관광펜션,펜션,강원특별자치도,인제군,강원특별자치도 인제군 인제읍 대목리길 137,033-463-1212,http://tong.visitkorea.or.kr/cms/resource/37/2571137_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/37/2571137_image2_1.jpeg
582215,가리왕산이야기 펜션,펜션,강원특별자치도,정선군,강원특별자치도 정선군 정선읍 청량길 32,010-2289-0021,http://tong.visitkorea.or.kr/cms/resource/09/582509_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/582509_image3_1.jpg
1781984,가바나모텔,모텔,경기도,구리시,경기도 구리시 안골로 70,031-563-0444,,
143017,가보호텔,관광호텔,경기도,평택시,경기도 평택시 평택5로76번길 18-10,0507-1396-7702,http://tong.visitkorea.or.kr/cms/resource/83/1942883_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/1942883_image3_1.jpg
2950408,가비원모텔,모텔,경상남도,하동군,경상남도 하동군 화개로 13,010-3889-6663,http://tong.visitkorea.or.kr/cms/resource/67/3009367_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/3009367_image3_1.jpg
942523,가시버시펜션,펜션,경기도,양평군,경기도 양평군 용문면 용문산로 337,031-771-5180,http://tong.visitkorea.or.kr/cms/resource/30/1893430_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/1893430_image3_1.jpg
136485,가야호텔,관광호텔,경상북도,성주군,경상북도 성주군 수륜면 가야산식물원길 52,054-931-3500,,
2707444,가영당 ,한옥,충청북도,청주시,충청북도 청주시 청원구 오창읍 미래지로 71-54,043-233-9966,http://tong.visitkorea.or.kr/cms/resource/14/3067814_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/3067814_image3_1.jpg
2593271,가은채 ,한옥,전북특별자치도,전주시,전북특별자치도 전주시 완산구 한지길 68-13,010-6345-5267,http://tong.visitkorea.or.kr/cms/resource/60/2593460_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/60/2593460_image2_1.JPG
2593272,가은채2 ,한옥,전북특별자치도,전주시,전북특별자치도 전주시 완산구 한지길 100-20,010-6345-5267,http://tong.visitkorea.or.kr/cms/resource/66/2593466_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/66/2593466_image2_1.JPG
2376711,가을동화펜션,펜션,강원특별자치도,평창군,강원특별자치도 평창군 봉평면 흥정계곡길 72,010-5213-3200,http://tong.visitkorea.or.kr/cms/resource/93/2376693_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/93/2376693_image2_1.JPG
2708335,가재와곰펜션 ,펜션,강원특별자치도,평창군,강원특별자치도 평창군 봉평면 흥정계곡4길 212-27,033-336-3357,http://tong.visitkorea.or.kr/cms/resource/06/2707806_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2707806_image3_1.jpg
1351349,가족사랑바다체험펜션,펜션,경상남도,남해군,경상남도 남해군 삼동면 죽방로 495,055-867-4892,,
3102216,가평 가둘기정원 키즈풀빌라 가족 스파 온수수영장 펜션,펜션,경기도,가평군,경기도 가평군 북면 꽃넘이길 115-82,0507-1331-2961,,
1979670,가평 하이랜드,모텔,경기도,가평군,경기도 가평군 북면 가화로 2369-19,031-581-2256~7,http://tong.visitkorea.or.kr/cms/resource/37/1979637_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/37/1979637_image2_1.JPG
2814152,가평미라몬티풀빌라펜션,펜션,경기도,가평군,경기도 가평군 가화로 1364-59,,http://tong.visitkorea.or.kr/cms/resource/11/2811411_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2811411_image2_1.jpg
2579457,갈모봉 힐링스테이,펜션,경상남도,고성군,경상남도 고성군 고성읍 이당5길 149-21,010-2779-2212,,
