lodging_id,name,sigungu,place_number,href
1,가경재 ,안동시,2032317295,https://place.map.kakao.com/2032317295
2,가락관광호텔,송파구,10955780,https://place.map.kakao.com/10955780
3,가락청,전주시,1627968097,https://place.map.kakao.com/1627968097
4,가람나무,파주시,20886386,https://place.map.kakao.com/20886386
6,가름게스트하우스,서귀포시,14572405,https://place.map.kakao.com/14572405
8,가리왕산이야기 펜션,정선군,1627968097,https://place.map.kakao.com/1627968097
9,가바나모텔,구리시,20886386,https://place.map.kakao.com/20886386
10,가보호텔,평택시,19700438,https://place.map.kakao.com/19700438
11,가비원모텔,하동군,22002668,https://place.map.kakao.com/22002668
12,가시버시펜션,양평군,9687852,https://place.map.kakao.com/9687852
13,가야호텔,성주군,8677856,https://place.map.kakao.com/8677856
14,가영당 ,청주시,16721233,https://place.map.kakao.com/16721233
15,가은채 ,전주시,1330069165,https://place.map.kakao.com/1330069165
16,가은채2 ,전주시,14558791,https://place.map.kakao.com/14558791
18,가재와곰펜션 ,평창군,1505686596,https://place.map.kakao.com/1505686596
20,가평 가둘기정원 키즈풀빌라 가족 스파 온수수영장 펜션,가평군,1224463724,https://place.map.kakao.com/1224463724
21,가평 하이랜드,가평군,20085195,https://place.map.kakao.com/20085195
22,가평미라몬티풀빌라펜션,가평군,1002019207,https://place.map.kakao.com/1002019207
23,갈모봉 힐링스테이,고성군,20025057,https://place.map.kakao.com/20025057
24,강가에 하얀집 펜션,영월군,12382144,https://place.map.kakao.com/12382144
25,강가의성,홍천군,1825838155,https://place.map.kakao.com/1825838155
27,강구안게스트하우스,통영시,27272949,https://place.map.kakao.com/27272949
29,강남아르누보씨티호텔,서초구,12382144,https://place.map.kakao.com/12382144
32,강령전,전주시,13143683,https://place.map.kakao.com/13143683
34,강릉 부띠끄호텔 봄봄,강릉시,8634791,https://place.map.kakao.com/8634791
37,강릉ing게스트하우스,강릉시,26989073,https://place.map.kakao.com/26989073
38,강릉게스트하우스 중앙점,강릉시,27479618,https://place.map.kakao.com/27479618
39,강릉선교장,강릉시,602648701,https://place.map.kakao.com/602648701
40,강릉오죽한옥마을,강릉시,408919712,https://place.map.kakao.com/408919712
41,강변에서 황토콘도,인제군,25117555,https://place.map.kakao.com/25117555
42,강변의수채화 펜션,홍천군,26480905,https://place.map.kakao.com/26480905
43,강애산애펜션,평창군,26979861,https://place.map.kakao.com/26979861
45,강이흐르는마을 펜션,정선군,19018089,https://place.map.kakao.com/19018089
47,강촌 느티나무마을펜션,춘천시,8674195,https://place.map.kakao.com/8674195
48,강촌w펜션,춘천시,25510707,https://place.map.kakao.com/25510707
50,강현재,보성군,10124074,https://place.map.kakao.com/10124074
52,강화평화빌리지,강화군,17212393,https://place.map.kakao.com/17212393
53,개여울,평창군,8219046,https://place.map.kakao.com/8219046
54,개울가펜션,양평군,13323681,https://place.map.kakao.com/13323681
58,갤러리&펜션 풍경소리,인제군,24356235,https://place.map.kakao.com/24356235
59,갤러리하우스모텔,화천군,14558317,https://place.map.kakao.com/14558317
60,갤럭시 모텔,정선군,25513380,https://place.map.kakao.com/25513380
61,갤럭시관광호텔,포항시,1111367272,https://place.map.kakao.com/1111367272
63,갬성하우스,원주시,1478828192,https://place.map.kakao.com/1478828192
64,갯내음 펜션,통영시,9611399,https://place.map.kakao.com/9611399
65,갯바위펜션,통영시,10128232,https://place.map.kakao.com/10128232
66,갯벌부흥펜션,태안군,22117068,https://place.map.kakao.com/22117068
67,거목장민박 ,해남군,9702798,https://place.map.kakao.com/9702798
68,거제 썬트리팜리조트,거제시,12697155,https://place.map.kakao.com/12697155
69,거제관광호텔,거제시,11561855,https://place.map.kakao.com/11561855
70,거제더비치펜션,거제시,8175051,https://place.map.kakao.com/8175051
71,거제도 펜션팔색조,거제시,11667015,https://place.map.kakao.com/11667015
72,거제도섬마을펜션,거제시,8173220,https://place.map.kakao.com/8173220
73,거제뷰골프텔,거제시,26515744,https://place.map.kakao.com/26515744
74,거제삼성호텔,거제시,21058048,https://place.map.kakao.com/21058048
75,거제스테이,거제시,270822571,https://place.map.kakao.com/270822571
76,거제오션호텔,거제시,11622850,https://place.map.kakao.com/11622850
77,거창서핑파크,거창군,1066591091,https://place.map.kakao.com/1066591091
84,게스트하우스 만나,중구,767985084,https://place.map.kakao.com/767985084
85,게스트하우스 몽자,용산구,20319392,https://place.map.kakao.com/20319392
86,게스트하우스 소설여행,군산시,1421024742,https://place.map.kakao.com/1421024742
87,게스트하우스 여정 ,군산시,1178327574,https://place.map.kakao.com/1178327574
93,경원BIZ모텔,동구,163894109,https://place.map.kakao.com/163894109
94,경원재 앰배서더 인천,연수구,1788608160,https://place.map.kakao.com/1788608160
96,경주 교동한옥집,경주시,587181921,https://place.map.kakao.com/587181921
98,경주 소울메이트,경주시,149247567,https://place.map.kakao.com/149247567
99,경주 아드리아 펜션,경주시,26636723,https://place.map.kakao.com/26636723
100,경주 오릉 한옥,경주시,1476904217,https://place.map.kakao.com/1476904217
101,경주 춘추관,경주시,1916776444,https://place.map.kakao.com/1916776444
103,경주 포시즌 게스트하우스,경주시,26305310,https://place.map.kakao.com/26305310
104,경주 한옥,경주시,25717995,https://place.map.kakao.com/25717995
105,경주 황리단길 한옥 독채 풀빌라 무와,경주시,904890415,https://place.map.kakao.com/904890415
106,경주수호정 ,경주시,26426247,https://place.map.kakao.com/26426247
107,경주스위트호텔,경주시,7975335,https://place.map.kakao.com/7975335
108,경주애견펜션 노비오스,경주시,1760185701,https://place.map.kakao.com/1760185701
109,경주엔한옥펜션,경주시,538200524,https://place.map.kakao.com/538200524
110,경주오릉한옥 ,경주시,904890415,https://place.map.kakao.com/904890415
111,경주읍성한옥,경주시,7975335,https://place.map.kakao.com/7975335
112,경주천년한옥펜션,경주시,17933857,https://place.map.kakao.com/17933857
114,경주한옥1번가,경주시,538200524,https://place.map.kakao.com/538200524
116,경주황룡유스호스텔,경주시,1944622593,https://place.map.kakao.com/1944622593
119,경주힐스,경주시,657040611,https://place.map.kakao.com/657040611
120,경포 비치 관광 호텔,강릉시,8180078,https://place.map.kakao.com/8180078
122,경포비치펜션,강릉시,8178610,https://place.map.kakao.com/8178610
123,경포우성펜션,강릉시,19030398,https://place.map.kakao.com/19030398
124,경함정,안동시,1371854330,https://place.map.kakao.com/1371854330
125,계곡의아침,포천시,1811291586,https://place.map.kakao.com/1811291586
126,계룡산작은쉼터,공주시,8180079,https://place.map.kakao.com/8180079
127,계림궁,경주시,26394075,https://place.map.kakao.com/26394075
129,계와고택,안동시,383460527,https://place.map.kakao.com/383460527
130,계절이 지나가는 하늘,평창군,15109124,https://place.map.kakao.com/15109124
131,고기리 다온스테이,용인시,14558294,https://place.map.kakao.com/14558294
132,고다리조트,철원군,26394075,https://place.map.kakao.com/26394075
133,고려호텔,부천시,10163024,https://place.map.kakao.com/10163024
134,고려호텔,안동시,15109124,https://place.map.kakao.com/15109124
135,고망난돌민박,서귀포시,1652415124,https://place.map.kakao.com/1652415124
136,고북밸리,양평군,39424250,https://place.map.kakao.com/39424250
137,고선재,청주시,10163024,https://place.map.kakao.com/10163024
140,고양국제청소년문화센터 유스센터,고양시,2137964448,https://place.map.kakao.com/2137964448
141,고운,종로구,24976942,https://place.map.kakao.com/24976942
142,고유,전주시,1232157687,https://place.map.kakao.com/1232157687
143,고유한관광농원펜션,고흥군,314306182,https://place.map.kakao.com/314306182
145,고창 선운산 유스호스텔,고창군,1693776735,https://place.map.kakao.com/1693776735
146,고창읍성한옥마을,고창군,815913780,https://place.map.kakao.com/815913780
147,고창처녀농부 민박,고창군,414463585,https://place.map.kakao.com/414463585
148,고추잠자리,부평구,16596743,https://place.map.kakao.com/16596743
149,고택 한옥에서,담양군,8370352,https://place.map.kakao.com/8370352
151,고향의 봄,홍천군,25145097,https://place.map.kakao.com/25145097
152,고향의봄,홍천군,20481115,https://place.map.kakao.com/20481115
155,고흐와 해바라기,홍천군,8140069,https://place.map.kakao.com/8140069
156,곡성강빛마을펜션,곡성군,12527126,https://place.map.kakao.com/12527126
158,곤지암리조트 콘도미니엄,광주시,12527126,https://place.map.kakao.com/12527126
159,골드브라운호텔,동구,969177933,https://place.map.kakao.com/969177933
