areacode,areaname,sigungucode,sigunguname
1,서울,1,강남구
1,서울,2,강동구
1,서울,3,강북구
1,서울,4,강서구
1,서울,5,관악구
1,서울,6,광진구
1,서울,7,구로구
1,서울,8,금천구
1,서울,9,노원구
1,서울,10,도봉구
1,서울,11,동대문구
1,서울,12,동작구
1,서울,13,마포구
1,서울,14,서대문구
1,서울,15,서초구
1,서울,16,성동구
1,서울,17,성북구
1,서울,18,송파구
1,서울,19,양천구
1,서울,20,영등포구
1,서울,21,용산구
1,서울,22,은평구
1,서울,23,종로구
1,서울,24,중구
1,서울,25,중랑구
2,인천,1,강화군
2,인천,2,계양구
2,인천,3,미추홀구
2,인천,4,남동구
2,인천,5,동구
2,인천,6,부평구
2,인천,7,서구
2,인천,8,연수구
2,인천,9,옹진군
2,인천,10,중구
3,대전,1,대덕구
3,대전,2,동구
3,대전,3,서구
3,대전,4,유성구
3,대전,5,중구
4,대구,1,남구
4,대구,2,달서구
4,대구,3,달성군
4,대구,4,동구
4,대구,5,북구
4,대구,6,서구
4,대구,7,수성구
4,대구,8,중구
4,대구,9,군위군
5,광주,1,광산구
5,광주,2,남구
5,광주,3,동구
5,광주,4,북구
5,광주,5,서구
6,부산,1,강서구
6,부산,2,금정구
6,부산,3,기장군
6,부산,4,남구
6,부산,5,동구
6,부산,6,동래구
6,부산,7,부산진구
6,부산,8,북구
6,부산,9,사상구
6,부산,10,사하구
6,부산,11,서구
6,부산,12,수영구
6,부산,13,연제구
6,부산,14,영도구
6,부산,15,중구
6,부산,16,해운대구
7,울산,1,중구
7,울산,2,남구
7,울산,3,동구
7,울산,4,북구
7,울산,5,울주군
8,세종특별자치시,1,세종특별자치시
31,경기도,1,가평군
31,경기도,2,고양시
31,경기도,3,과천시
31,경기도,4,광명시
31,경기도,5,광주시
31,경기도,6,구리시
31,경기도,7,군포시
31,경기도,8,김포시
31,경기도,9,남양주시
31,경기도,10,동두천시
31,경기도,11,부천시
31,경기도,12,성남시
31,경기도,13,수원시
31,경기도,14,시흥시
31,경기도,15,안산시
31,경기도,16,안성시
31,경기도,17,안양시
31,경기도,18,양주시
31,경기도,19,양평군
31,경기도,20,여주시
31,경기도,21,연천군
31,경기도,22,오산시
31,경기도,23,용인시
31,경기도,24,의왕시
31,경기도,25,의정부시
31,경기도,26,이천시
31,경기도,27,파주시
31,경기도,28,평택시
31,경기도,29,포천시
31,경기도,30,하남시
31,경기도,31,화성시
32,강원특별자치도,1,강릉시
32,강원특별자치도,2,고성군
32,강원특별자치도,3,동해시
32,강원특별자치도,4,삼척시
32,강원특별자치도,5,속초시
32,강원특별자치도,6,양구군
32,강원특별자치도,7,양양군
32,강원특별자치도,8,영월군
32,강원특별자치도,9,원주시
32,강원특별자치도,10,인제군
32,강원특별자치도,11,정선군
32,강원특별자치도,12,철원군
32,강원특별자치도,13,춘천시
32,강원특별자치도,14,태백시
32,강원특별자치도,15,평창군
32,강원특별자치도,16,홍천군
32,강원특별자치도,17,화천군
32,강원특별자치도,18,횡성군
33,충청북도,1,괴산군
33,충청북도,2,단양군
33,충청북도,3,보은군
33,충청북도,4,영동군
33,충청북도,5,옥천군
33,충청북도,6,음성군
33,충청북도,7,제천시
33,충청북도,8,진천군
33,충청북도,9,청원군
33,충청북도,10,청주시
33,충청북도,11,충주시
33,충청북도,12,증평군
34,충청남도,1,공주시
34,충청남도,2,금산군
34,충청남도,3,논산시
34,충청남도,4,당진시
34,충청남도,5,보령시
34,충청남도,6,부여군
34,충청남도,7,서산시
34,충청남도,8,서천군
34,충청남도,9,아산시
34,충청남도,10,예산군
34,충청남도,11,천안시
34,충청남도,12,청양군
34,충청남도,13,태안군
34,충청남도,14,홍성군
34,충청남도,15,계룡시
35,경상북도,1,경산시
35,경상북도,2,경주시
35,경상북도,3,고령군
35,경상북도,4,구미시
35,경상북도,5,김천시
35,경상북도,6,문경시
35,경상북도,7,봉화군
35,경상북도,8,상주시
35,경상북도,9,성주군
35,경상북도,10,안동시
35,경상북도,11,영덕군
35,경상북도,12,영양군
35,경상북도,13,영주시
35,경상북도,14,영천시
35,경상북도,15,예천군
35,경상북도,16,울릉군
35,경상북도,17,울진군
35,경상북도,18,의성군
35,경상북도,19,청도군
35,경상북도,20,청송군
35,경상북도,21,칠곡군
35,경상북도,22,포항시
36,경상남도,1,거제시
36,경상남도,2,거창군
36,경상남도,3,고성군
36,경상남도,4,김해시
36,경상남도,5,남해군
36,경상남도,6,마산시
36,경상남도,7,밀양시
36,경상남도,8,사천시
36,경상남도,9,산청군
36,경상남도,10,양산시
36,경상남도,11,의령군
36,경상남도,12,진주시
36,경상남도,13,진해시
36,경상남도,14,창녕군
36,경상남도,15,창원시
36,경상남도,16,통영시
36,경상남도,17,하동군
36,경상남도,18,함안군
36,경상남도,19,함양군
36,경상남도,20,합천군
37,전북특별자치도,1,고창군
37,전북특별자치도,2,군산시
37,전북특별자치도,3,김제시
37,전북특별자치도,4,남원시
37,전북특별자치도,5,무주군
37,전북특별자치도,6,부안군
37,전북특별자치도,7,순창군
37,전북특별자치도,8,완주군
37,전북특별자치도,9,익산시
37,전북특별자치도,10,임실군
37,전북특별자치도,11,장수군
37,전북특별자치도,12,전주시
37,전북특별자치도,13,정읍시
37,전북특별자치도,14,진안군
38,전라남도,1,강진군
38,전라남도,2,고흥군
38,전라남도,3,곡성군
38,전라남도,4,광양시
38,전라남도,5,구례군
38,전라남도,6,나주시
38,전라남도,7,담양군
38,전라남도,8,목포시
38,전라남도,9,무안군
38,전라남도,10,보성군
38,전라남도,11,순천시
38,전라남도,12,신안군
38,전라남도,13,여수시
38,전라남도,14,영광군
38,전라남도,15,영암군
38,전라남도,16,완도군
38,전라남도,17,장성군
38,전라남도,18,장흥군
38,전라남도,19,진도군
38,전라남도,20,함평군
38,전라남도,21,해남군
38,전라남도,22,화순군
39,제주도,1,남제주군
39,제주도,2,북제주군
39,제주도,3,서귀포시
39,제주도,4,제주시
