lodging_id,숙소의 가성비,숙소의 청결,숙소의 서비스,숙소의 위치,숙소의 가족 여행,숙소의 연인,숙소의 풍경,review_count,최종 태그
6,2,3,6,0,1,0,3,11,서비스
12,2,2,4,0,2,1,1,6,"가성비, 청결, 서비스, 가족 여행"
14,2,1,2,0,1,0,1,8,
21,0,1,1,1,0,0,4,8,풍경
39,3,5,4,1,1,1,0,7,"가성비, 청결, 서비스"
40,3,10,7,2,0,0,6,21,"청결, 서비스"
41,2,4,5,0,1,0,0,5,"가성비, 청결, 서비스"
70,1,1,2,0,1,0,2,6,"서비스, 풍경"
73,2,2,3,0,1,1,1,7,서비스
75,3,2,2,1,1,0,0,8,가성비
94,0,2,0,0,0,1,0,5,청결
96,7,17,16,5,3,1,4,26,"청결, 서비스"
119,0,0,2,0,0,0,1,6,서비스
145,3,2,4,0,2,0,1,7,"가성비, 서비스"
155,1,5,6,0,1,0,5,15,"청결, 서비스, 풍경"
166,9,11,9,3,5,0,4,79,
172,0,0,0,0,0,1,2,8,
181,1,4,4,0,0,0,0,20,
187,0,0,0,0,0,0,0,5,
188,1,4,4,0,0,0,0,20,
205,0,2,1,1,1,0,1,10,
211,2,2,3,2,2,2,3,6,"가성비, 청결, 서비스, 위치, 가족 여행, 연인, 풍경"
233,11,12,12,2,3,0,3,78,
240,7,11,21,5,1,1,6,80,
243,4,6,6,2,0,0,0,18,"청결, 서비스"
247,5,2,2,0,1,0,0,8,가성비
267,4,6,4,0,2,0,4,13,"가성비, 청결, 서비스, 풍경"
274,1,2,2,0,0,0,0,8,
279,1,2,2,0,0,0,0,8,
303,1,1,1,1,0,0,1,6,
321,1,5,6,2,0,0,2,10,"청결, 서비스"
324,6,11,10,4,4,1,4,22,"청결, 서비스"
330,6,11,10,4,4,1,4,22,"청결, 서비스"
346,0,0,1,0,0,0,2,5,풍경
347,0,1,1,0,0,0,0,7,
360,0,3,5,1,1,0,2,30,
364,0,3,5,1,1,0,2,30,
393,3,3,1,2,0,0,0,10,"가성비, 청결"
407,1,6,5,0,1,0,2,9,"청결, 서비스"
421,2,8,11,0,0,0,0,23,"청결, 서비스"
422,2,6,3,0,0,0,1,16,청결
427,0,0,0,0,0,0,0,8,
428,1,1,1,0,1,0,1,5,
442,0,1,2,0,0,0,1,9,
443,2,4,4,2,1,0,2,8,"청결, 서비스"
451,4,5,6,0,2,0,3,17,서비스
465,7,14,9,1,1,0,3,23,"가성비, 청결, 서비스"
476,1,3,3,0,1,0,1,5,"청결, 서비스"
480,3,3,3,1,3,0,3,22,
497,1,1,2,0,0,0,0,5,서비스
507,1,2,3,0,0,0,2,5,"청결, 서비스, 풍경"
511,7,16,13,4,5,1,8,38,"청결, 서비스"
517,3,1,2,0,0,0,0,5,"가성비, 서비스"
527,1,3,1,1,1,0,2,15,
529,5,8,9,3,1,1,3,45,
532,1,3,1,1,1,0,2,15,
537,0,1,1,0,0,0,0,11,
542,4,5,2,1,1,0,2,8,"가성비, 청결"
546,8,13,12,1,1,0,1,25,"가성비, 청결, 서비스"
560,8,12,21,7,9,0,14,81,
562,9,16,9,1,5,0,1,48,청결
582,1,1,1,0,0,0,1,6,
587,1,1,1,0,0,0,1,5,
588,1,1,1,0,0,0,1,6,
589,4,5,7,2,3,1,7,24,
591,1,1,1,0,0,0,0,6,
631,1,1,1,0,0,0,0,5,
632,7,8,7,1,5,2,2,13,"가성비, 청결, 서비스, 가족 여행"
635,4,8,5,1,1,0,0,15,"청결, 서비스"
638,8,10,11,2,1,0,2,19,"가성비, 청결, 서비스"
644,8,10,11,2,1,0,2,19,"가성비, 청결, 서비스"
647,0,1,1,1,0,0,1,5,
648,4,5,5,1,0,0,0,8,"가성비, 청결, 서비스"
649,3,6,8,1,0,0,3,14,"청결, 서비스"
650,7,7,7,1,3,1,1,23,"가성비, 청결, 서비스"
654,7,7,7,1,3,1,1,23,"가성비, 청결, 서비스"
665,2,3,3,0,1,0,0,6,"가성비, 청결, 서비스"
666,3,3,3,0,0,0,0,6,"가성비, 청결, 서비스"
671,7,10,7,2,0,0,6,27,청결
679,0,1,1,2,0,0,2,6,"위치, 풍경"
683,12,12,13,3,4,2,9,50,
709,27,31,32,2,5,2,29,130,
739,6,9,9,0,2,0,1,27,"청결, 서비스"
766,3,7,6,0,2,0,1,23,청결
789,2,2,4,0,0,0,0,14,
797,14,21,13,5,5,1,22,119,
799,3,4,2,0,0,0,2,19,
805,8,19,18,2,2,1,10,74,
808,9,14,13,3,1,0,1,46,청결
811,17,24,33,0,2,0,5,101,서비스
812,10,7,13,0,2,0,0,44,
815,0,3,2,1,0,0,1,10,청결
816,2,4,5,1,1,0,0,8,"청결, 서비스"
820,0,3,2,1,0,0,1,10,청결
850,0,2,0,0,0,0,0,5,청결
878,11,21,21,7,9,1,8,49,"청결, 서비스"
890,1,2,2,0,0,0,0,6,"청결, 서비스"
893,0,2,5,1,1,0,1,8,서비스
928,5,9,9,1,2,0,1,25,"청결, 서비스"
938,3,5,3,1,0,0,1,9,"가성비, 청결, 서비스"
945,2,5,5,1,1,0,1,11,"청결, 서비스"
951,7,10,9,2,4,0,3,14,"가성비, 청결, 서비스"
965,2,1,0,0,0,0,0,5,가성비
967,0,2,2,0,0,0,0,5,"청결, 서비스"
980,3,1,3,0,0,0,0,6,"가성비, 서비스"
982,3,5,5,0,2,0,1,8,"가성비, 청결, 서비스"
1001,0,2,1,0,0,0,1,5,청결
1003,0,3,3,0,0,0,2,5,"청결, 서비스, 풍경"
1005,0,2,1,0,0,0,1,5,청결
1010,2,4,2,0,0,0,0,5,"가성비, 청결, 서비스"
1023,0,3,3,1,0,0,1,5,"청결, 서비스"
1042,1,0,1,0,0,0,1,9,
1047,2,3,3,2,4,0,5,13,"가족 여행, 풍경"
1051,2,2,0,1,1,0,0,10,
1068,2,2,1,1,1,0,1,5,"가성비, 청결"
1078,0,0,1,0,0,0,1,5,
1093,1,0,0,0,0,0,0,16,
1095,1,5,5,2,1,1,4,12,"청결, 서비스, 풍경"
1098,2,3,3,1,0,0,1,11,
1099,0,4,5,0,0,0,0,5,"청결, 서비스"
1102,2,3,3,1,0,0,1,11,
1112,1,4,4,0,2,0,2,34,
1125,1,3,2,0,2,0,3,5,"청결, 서비스, 가족 여행, 풍경"
1160,5,4,4,1,2,0,0,10,"가성비, 청결, 서비스"
1175,2,3,2,1,0,0,0,6,"가성비, 청결, 서비스"
1177,6,14,13,3,0,0,3,27,"청결, 서비스"
1179,2,5,4,1,0,0,2,9,"청결, 서비스"
1181,2,4,3,0,0,0,0,12,청결
1184,2,4,2,0,2,0,0,9,청결
1192,2,3,4,0,0,0,3,18,
1194,0,6,3,0,0,0,1,9,"청결, 서비스"
1198,21,36,36,4,5,1,6,71,"청결, 서비스"
1206,0,1,1,0,0,0,1,10,
1210,3,3,2,0,0,0,0,11,
1215,0,2,2,1,0,0,0,5,"청결, 서비스"
1220,0,3,4,0,1,0,1,7,"청결, 서비스"
1226,3,3,4,0,2,0,4,8,"가성비, 청결, 서비스, 풍경"
1232,4,4,7,1,3,0,2,12,"가성비, 청결, 서비스"
1244,1,1,0,0,0,0,0,7,
1253,9,14,11,3,3,0,4,22,"가성비, 청결, 서비스"
1267,6,11,6,1,1,0,0,13,"가성비, 청결, 서비스"
1287,4,6,8,3,2,1,2,20,"청결, 서비스"
1308,3,3,3,1,0,0,1,6,"가성비, 청결, 서비스"
1311,2,2,1,0,0,0,0,7,
1313,0,0,1,0,0,0,0,5,
1317,2,3,4,0,1,0,1,5,"가성비, 청결, 서비스"
1338,6,8,5,3,1,0,3,30,
1342,1,1,1,0,1,0,1,9,
1348,2,0,4,0,0,0,4,30,
1353,0,1,1,0,0,0,2,5,풍경
1360,1,1,0,0,0,0,0,6,
1369,0,1,2,0,0,0,1,6,서비스
1380,2,3,4,1,2,1,1,7,"청결, 서비스"
1397,0,1,1,0,0,0,0,5,
1415,3,5,4,0,0,0,0,9,"가성비, 청결, 서비스"
1419,3,5,4,0,0,0,0,9,"가성비, 청결, 서비스"
1431,0,1,0,0,1,0,1,9,
1442,10,15,16,4,4,1,7,21,"가성비, 청결, 서비스, 풍경"
1448,0,0,0,1,0,0,1,9,
1476,4,7,5,0,0,0,0,21,청결
1481,18,11,22,1,3,1,1,134,
1504,1,3,1,0,0,0,1,5,청결
1507,5,9,9,0,2,0,7,27,"청결, 서비스"
1562,3,10,9,2,1,0,9,48,
1574,1,2,2,1,1,0,0,5,"청결, 서비스"
1575,0,1,0,0,0,0,0,5,
1583,1,6,4,1,0,0,0,11,"청결, 서비스"
1585,0,1,1,0,0,0,4,10,풍경
1589,0,1,1,0,0,0,4,10,풍경
1594,3,4,4,1,1,0,1,8,"가성비, 청결, 서비스"
1608,4,5,3,1,1,0,0,17,
1635,0,4,3,0,0,0,3,9,"청결, 서비스, 풍경"
1671,0,2,1,0,0,0,0,6,청결
1674,1,1,1,0,0,0,3,6,풍경
1685,1,1,2,0,0,0,0,6,서비스
1697,3,4,5,1,1,0,0,12,"청결, 서비스"
1719,1,2,3,0,0,0,1,7,서비스
1723,5,7,10,0,2,0,10,48,
1734,0,0,1,0,0,0,1,7,
1760,11,10,15,1,2,1,8,55,
1764,11,10,15,1,2,1,8,55,
1783,19,26,31,7,28,1,4,66,"청결, 서비스, 가족 여행"
1795,1,5,0,0,0,0,2,17,
1806,4,5,4,3,2,0,2,7,"가성비, 청결, 서비스, 위치"
1812,4,5,4,3,2,0,2,7,"가성비, 청결, 서비스, 위치"
1821,6,8,10,0,0,0,8,68,
1829,1,3,2,0,1,0,1,18,
1836,2,2,2,1,2,0,2,24,
1839,1,1,1,2,1,0,2,7,
1857,0,4,5,1,0,0,1,9,"청결, 서비스"
1859,0,2,1,0,0,0,1,6,청결
1860,5,2,5,1,1,1,2,7,"가성비, 서비스"
1862,3,9,8,0,3,0,0,21,"청결, 서비스"
1872,1,6,5,0,0,0,0,8,"청결, 서비스"
1896,5,7,6,0,1,0,2,10,"가성비, 청결, 서비스"
1917,1,1,2,0,0,0,2,6,"서비스, 풍경"
1920,1,3,2,0,2,0,0,6,"청결, 서비스, 가족 여행"
1921,1,1,2,0,0,0,2,6,"서비스, 풍경"
1926,2,2,0,0,0,0,0,11,
1947,1,1,2,0,1,0,1,5,서비스
1950,1,3,8,0,0,0,0,12,서비스
1957,1,3,8,0,0,0,0,12,서비스
1984,6,10,8,1,1,0,0,20,"가성비, 청결, 서비스"
1988,6,10,8,1,1,0,0,20,"가성비, 청결, 서비스"
2012,0,0,1,0,0,0,0,9,
2018,4,3,4,0,1,0,1,12,"가성비, 서비스"
2021,1,1,1,0,0,0,0,5,
2022,4,3,4,0,1,0,1,12,"가성비, 서비스"
2037,3,3,4,0,0,1,0,7,"가성비, 청결, 서비스"
2038,2,4,1,2,1,0,1,22,
2039,2,3,2,0,0,0,2,7,청결
2043,11,22,12,4,1,0,1,28,"가성비, 청결, 서비스"
2046,3,5,4,0,0,0,0,9,"가성비, 청결, 서비스"
2049,2,2,2,0,1,0,0,5,"가성비, 청결, 서비스"
2051,3,5,4,0,0,0,0,9,"가성비, 청결, 서비스"
2067,3,5,5,2,1,0,3,10,"가성비, 청결, 서비스, 풍경"
2068,23,25,22,10,4,0,21,111,
2077,1,2,2,0,0,1,1,6,"청결, 서비스"
2095,0,1,2,0,0,0,0,5,서비스
2135,0,1,1,1,0,0,3,15,
2161,2,2,1,0,2,0,1,6,"가성비, 청결, 가족 여행"
2163,90,132,110,38,55,14,128,762,
2187,11,11,10,1,1,0,6,33,"가성비, 청결, 서비스"
2188,6,9,9,3,1,1,9,23,"청결, 서비스, 풍경"
2197,0,0,0,0,0,0,1,7,
2200,0,1,2,0,0,0,3,10,풍경
2203,0,1,0,1,0,1,1,6,
2233,0,1,1,1,1,0,4,8,풍경
2234,9,10,12,3,2,3,11,42,
2255,3,2,5,0,1,0,0,12,서비스
2257,8,9,9,1,2,0,2,25,"가성비, 청결, 서비스"
2265,0,0,0,0,0,0,0,5,
2282,0,1,1,0,0,0,1,9,
2287,0,1,1,0,0,0,1,9,
2294,0,2,1,1,0,0,2,6,"청결, 풍경"
2299,1,3,5,2,1,0,4,7,"청결, 서비스, 풍경"
2315,5,6,8,2,1,0,1,14,"가성비, 청결, 서비스"
2318,2,6,4,1,2,0,1,13,"청결, 서비스"
2328,2,3,3,1,1,0,1,5,"가성비, 청결, 서비스"
2333,2,3,3,1,1,0,1,5,"가성비, 청결, 서비스"
2359,0,0,1,0,0,0,0,5,
2386,1,2,3,1,2,0,2,12,
2394,0,2,3,0,0,0,1,5,"청결, 서비스"
2399,0,2,3,0,0,0,1,5,"청결, 서비스"
2424,2,1,2,0,0,0,1,6,"가성비, 서비스"
2443,0,1,1,0,0,0,1,5,
2468,0,2,2,0,0,0,3,6,"청결, 서비스, 풍경"
2473,0,0,0,0,1,0,0,10,
2481,2,4,7,1,2,0,1,17,서비스
2482,0,2,2,0,0,0,1,7,
2492,1,2,2,0,0,0,1,8,
2500,0,1,1,0,0,0,0,5,
2503,0,0,4,0,0,0,0,8,서비스
2506,0,1,3,0,1,0,0,6,서비스
2513,1,3,3,1,1,0,1,6,"청결, 서비스"
2542,0,3,3,0,0,0,1,13,
2547,0,0,0,0,0,0,0,11,
2554,11,15,10,4,2,0,3,36,"가성비, 청결"
2555,0,0,1,0,0,0,4,30,
2561,1,2,2,0,0,0,1,5,"청결, 서비스"
2565,4,10,9,1,2,0,3,14,"청결, 서비스"
2566,14,17,28,1,7,1,3,133,
2568,1,4,4,1,1,0,0,10,"청결, 서비스"
2570,0,2,2,0,0,0,0,6,"청결, 서비스"
2571,3,6,5,1,1,1,2,15,"청결, 서비스"
2573,5,13,12,3,4,0,4,41,청결
2576,0,2,2,0,0,0,0,6,"청결, 서비스"
2597,0,3,2,0,0,0,1,5,"청결, 서비스"
2602,0,3,2,0,0,0,1,5,"청결, 서비스"
2606,1,3,5,0,1,0,0,12,서비스
2618,0,0,1,0,0,0,1,10,
2634,1,5,6,1,1,0,4,11,"청결, 서비스, 풍경"
2635,0,0,1,0,0,0,2,5,풍경
2636,7,5,7,0,3,0,2,14,"가성비, 청결, 서비스"
2645,2,3,4,1,0,0,1,8,"청결, 서비스"
