contentid,roomcode,roomtitle,roomcount,available_count,base_person,max_person,offseasonminfee,offseasonmaxfee,peakseasonminfee,peakseasonmaxfee,roombathfacility,roombath,roomhometheater,roomaircondition,roomtv,roompc,roomcable,roominternet,roomrefrigerator,roomtoiletries,roomsofa,roomcook,roomtable,roomhairdryer,roomimg1,roomimg1_alt,roomimg2,roomimg2_alt,roomimg3,roomimg3_alt
2465071,46591,사랑채 아랫방,6,5,2,2,80000,122000,127000,174000,,,,1,1,,1,1,1,1,,,1,1,http://tong.visitkorea.or.kr/cms/resource/16/2626216_image2_1.jpg,경북_안동_가경재_사랑채(아랫방)03,http://tong.visitkorea.or.kr/cms/resource/15/2626215_image2_1.jpg,경북_안동_가경재_사랑채(아랫방)02,http://tong.visitkorea.or.kr/cms/resource/14/2626214_image2_1.jpg,경북_안동_가경재_사랑채(아랫방)01
2465071,46593,군불 황토 아랫방,6,5,3,7,100000,141000,108000,154000,,,,1,1,,1,1,1,1,,,1,1,http://tong.visitkorea.or.kr/cms/resource/23/2626223_image2_1.jpg,경북_안동_가경재_군불황토(아랫방)05,http://tong.visitkorea.or.kr/cms/resource/22/2626222_image2_1.jpg,경북_안동_가경재_군불황토(아랫방)04,http://tong.visitkorea.or.kr/cms/resource/19/2626219_image2_1.jpg,경북_안동_가경재_군불황토(아랫방)01
142785,11432,스탠다드 더블,8,2,2,3,98000,120000,109000,127000,1,1,,1,1,,1,1,1,1,,,,1,,,,,,
142785,11433,스탠다드 트윈,8,6,2,4,108000,137000,155000,197000,1,1,,1,1,,1,1,1,1,,,,1,,,,,,
142785,43642,디럭스 더블,14,5,2,5,108000,147000,133000,154000,1,1,,1,1,,1,1,1,1,1,,,1,,,,,,
142785,11431,주니어 스위트,10,9,3,6,128000,173000,137000,148000,,1,,1,1,,1,1,1,1,1,,,1,,,,,,
142785,11430,로얄 스위트,4,0,3,6,138000,181000,186000,223000,1,1,,1,1,,1,1,1,1,1,,,1,,,,,,
2671267,51712,아쟁,4,1,2,2,60000,90000,72000,119000,1,,,1,1,,1,1,1,1,,,1,,,,,,,
2671267,51713,해금,12,12,2,7,50000,70000,68000,70000,1,,,1,1,,1,1,1,1,,,1,1,,,,,,
2671267,51714,비파,13,9,2,7,50000,70000,93000,142000,1,,,1,1,,1,1,1,1,,,1,1,,,,,,
2671267,51715,거문고,3,0,2,6,80000,110000,125000,171000,1,,,1,1,,,1,1,1,,,1,1,,,,,,
2671267,51716,가야금,18,14,2,2,80000,110000,86000,110000,,,,,,,,,,,,,,,,,,,,
2627867,53284,살림채,11,2,25,26,630000,900000,662000,711000,,,,1,1,,,1,1,1,,1,,1,,,,,,
2627867,53285,별서정,7,3,25,28,585000,990000,610000,617000,,,,1,1,,,1,1,1,,1,,1,,,,,,
2627867,53286,강빛바람,2,0,20,20,435000,650000,442000,491000,,,,1,1,,,1,1,1,,1,,1,,,,,,
2627867,53287,가람나무 101/102,10,4,1,4,191400,330000,231400,238400,,,,1,1,,,1,1,1,,1,,1,,,,,,
2627867,53288,가람나무 301/302,9,5,10,10,226200,385000,274200,308200,,,,1,1,,,1,1,1,,1,,1,,,,,,
2627867,53289,별채 101/102/201/202/203,3,0,2,7,87000,165000,92000,133000,,,,1,1,,,1,1,1,,1,,1,,,,,,
2627867,53290,별채 204,8,3,5,10,147900,230000,174900,185900,,,,1,1,,,1,1,1,,1,,1,,,,,,
1865597,39690,별채A,16,1,4,8,100000,120000,117000,164000,,,,1,1,,,1,1,1,,1,,1,http://tong.visitkorea.or.kr/cms/resource/28/2579428_image2_1.jpg,경북_안동_가람초연재_별채A_1,http://tong.visitkorea.or.kr/cms/resource/29/2579429_image2_1.jpg,경북_안동_가람초연재_별채A_2,http://tong.visitkorea.or.kr/cms/resource/31/2579431_image2_1.jpg,경북_안동_가람초연재_별채A_3
1896032,40590,더블룸,4,2,2,2,55000,102000,65000,94000,1,,,1,1,,1,1,,1,,,1,1,,,,,,
1896032,40591,트윈룸,3,0,2,5,55000,94000,65000,102000,1,,,1,1,,1,1,,1,,,1,1,,,,,,
1896032,40593,다인실,1,1,3,4,70000,97000,80000,94000,1,,,1,,,1,1,,1,,,,1,http://tong.visitkorea.or.kr/cms/resource/26/2007526_image2_1.JPG,가름게스트하우스_6인실1,http://tong.visitkorea.or.kr/cms/resource/27/2007527_image2_1.JPG,가름게스트하우스_6인실2,,
1896032,54264,트리플룸,1,0,2,3,70000,98000,80000,93000,1,,,1,,,1,1,,1,,,1,1,,,,,,
582215,14634,눈색이꽃,1,1,4,6,120000,150000,180000,186000,1,,,1,1,,1,,1,1,,1,,1,,,,,,
582215,14632,해오라비,1,0,6,8,120000,150000,180000,201000,1,,,1,1,,1,,1,1,,1,,1,,,,,,
582215,38223,달맞이꽃,1,0,2,7,80000,100000,120000,137000,1,,,1,1,,1,,1,1,,1,,1,,,,,,
582215,14636,하늘나리,1,1,2,7,80000,100000,120000,137000,1,,,1,1,,1,,1,1,,1,,1,,,,,,
582215,14642,송백향,1,1,12,14,250000,300000,350000,398000,1,,,1,1,,1,,1,1,1,1,,1,,,,,,
582215,14643,외갓집,1,0,8,13,180000,230000,270000,309000,,,,1,1,,1,,1,1,,1,,1,,,,,,
1781984,37558,일반실,28,0,9,12,40000,89000,50000,98000,1,,,1,1,,1,1,1,,,1,,1,,,,,,
143017,14958,스탠다드 더블,9,2,2,2,50800,74800,66800,76800,1,1,,1,1,1,1,1,1,1,,,1,1,,,,,,
143017,14966,스위트 트윈,10,1,2,5,83800,100800,124800,143800,1,1,,1,1,1,1,1,1,1,,,1,1,,,,,,
143017,14960,디럭스 더블,13,5,2,5,46100,57100,76100,89100,1,1,,1,1,1,1,1,1,1,,,1,1,,,,,,
143017,50872,스탠다드 트윈,9,5,2,5,87800,98800,107800,131800,1,1,,1,1,1,1,1,1,1,,,1,1,,,,,,
143017,50873,디럭스 트윈,9,7,2,6,92400,112400,104400,140400,1,1,,1,1,1,1,1,1,1,,,1,1,,,,,,
2950408,57552,일반(온돌),19,2,2,2,50000,55000,60000,70000,1,1,,1,1,,,1,1,1,,,,1,http://tong.visitkorea.or.kr/cms/resource/10/_/api/depot/public/depot-flow/query/download-image/6474d2fa-485c-4486-b85c-923b56e7a110,가비원모텔_객실사진추가_일반_온돌,,,,
2950408,57553,일반(침대),15,3,2,7,50000,55000,60000,70000,1,1,,1,1,,,1,1,1,,,,1,,,,,,
942523,23071,그랜드룸,1,1,15,15,250000,320000,350000,384000,1,,,1,1,,1,1,1,,,1,1,1,http://tong.visitkorea.or.kr/cms/resource/33/1893433_image2_1.jpg,경기_양평_가시버시펜션04,http://tong.visitkorea.or.kr/cms/resource/32/1893432_image2_1.jpg,경기_양평_가시버시펜션03,http://tong.visitkorea.or.kr/cms/resource/31/1893431_image2_1.jpg,경기_양평_가시버시펜션02
136485,58232,스탠다드 더블,8,3,2,6,80000,121000,114000,160000,1,,,1,1,,,1,1,1,,,1,1,,,,,,
136485,58233,패밀리 트윈,5,4,3,8,120000,154000,129000,165000,1,,,1,1,,,1,1,1,,,1,1,,,,,,
136485,58234,패밀리 온돌,18,12,4,8,110000,152000,126000,141000,1,,,1,1,,,1,1,1,,,1,1,,,,,,
136485,58235,스탠다드 온돌,4,0,2,3,120000,131000,152000,180000,1,,,1,1,,,1,1,1,,,1,1,,,,,,
136485,58236,디럭스 더블,11,9,3,4,120000,129000,167000,193000,1,,,1,1,,,1,1,1,,,1,1,,,,,,
136485,58237,디럭스 패밀리 더블,4,1,3,7,140000,148000,157000,191000,1,,,1,1,,,1,1,1,,,1,1,,,,,,
136485,58238,디럭스 온돌,3,0,3,8,42400,89400,66400,104400,1,,,1,1,,,1,1,1,,,1,1,,,,,,
136485,58239,디럭스 패밀리 온돌,8,4,4,8,53500,101500,72500,110500,1,,,1,1,,,1,1,1,,,1,1,,,,,,
136485,58240,가야 스위트,3,0,2,2,150000,182000,183000,200000,1,,,1,1,,,1,1,1,,,1,1,,,,,,
136485,58241,디럭스 스위트,6,5,4,8,180000,214000,197000,215000,1,,,1,1,,,1,1,1,,,1,1,,,,,,
2707444,33773,별채 (독채),7,1,8,13,600000,700000,626000,700000,1,,,1,1,,,1,1,1,1,1,1,1,http://tong.visitkorea.or.kr/cms/resource/25/3067825_image2_1.jpg,가영당_2023_별채_방,http://tong.visitkorea.or.kr/cms/resource/16/3067816_image2_1.jpg,가영당_2023_별채_거실,http://tong.visitkorea.or.kr/cms/resource/15/3067815_image2_1.jpg,가영당_2023_별채_누마루
2593271,57294,I(3인 복층),11,8,3,4,80000,130000,100000,130000,1,,,1,1,,1,1,1,1,,,,1,,,,,,
2593271,57296,T(3인복층),7,7,3,7,80000,130000,100000,130000,1,,,1,1,,1,1,1,1,,,,1,,,,,,
2593271,57297,R(3인 온돌),18,8,3,7,80000,130000,100000,130000,1,,,1,1,,1,1,1,1,,,,1,,,,,,
2593271,57281,Z(2인온돌),3,0,2,7,70000,110000,90000,110000,1,,,1,1,,1,1,1,1,,,,1,,,,,,
2593271,49751,수(2인온돌),1,0,2,6,70000,110000,90000,110000,1,,,1,1,,1,1,1,1,,,,1,,,http://tong.visitkorea.or.kr/cms/resource/55/2596955_image2_1.png,[전북 전주] 가은채 수,,
2593271,49752,금(2인온돌),1,0,2,2,70000,110000,90000,110000,1,,,1,1,,1,1,1,1,,,,1,,,,,,
2593271,49753,지(2인온돌),13,4,2,5,70000,110000,90000,110000,1,,,1,1,,1,1,1,1,,,,1,,,,,,
2593271,49754,화(2인온돌),9,7,2,2,70000,110000,90000,110000,1,,,1,1,,1,1,1,1,,,,1,,,,,,
2593271,49756,명(2인온돌),6,5,2,6,70000,110000,90000,110000,1,,,1,1,,1,1,1,1,,,,1,,,,,,
2593271,49757,천(3인복층),19,9,3,3,80000,130000,100000,130000,1,,,1,1,,1,1,1,1,,,,1,http://tong.visitkorea.or.kr/cms/resource/57/2596957_image2_1.png,[전북 전주] 가은채 천,,,,
2593272,49759,G방(2인 온돌),3,0,2,7,70000,110000,90000,110000,1,,,1,1,,1,1,1,1,,,,1,,,,,,
