contentid,contenttypeid,roomcode,roomtitle,roomsize1,roomcount,roombasecount,roommaxcount,roomoffseasonminfee1,roomoffseasonminfee2,roompeakseasonminfee1,roompeakseasonminfee2,roomintro,roombathfacility,roombath,roomhometheater,roomaircondition,roomtv,roompc,roomcable,roominternet,roomrefrigerator,roomtoiletries,roomsofa,roomcook,roomtable,roomhairdryer,roomsize2,roomimg1,roomimg1alt,cpyrhtDivCd1,roomimg2,roomimg2alt,cpyrhtDivCd2,roomimg3,roomimg3alt,cpyrhtDivCd3,roomimg4,roomimg4alt,cpyrhtDivCd4,roomimg5,roomimg5alt,cpyrhtDivCd5
2465071,32,46591,사랑채 아랫방,0,0,2,2,80000,80000,80000,80000,,,,,Y,Y,,Y,Y,Y,Y,,,Y,Y,0,http://tong.visitkorea.or.kr/cms/resource/16/2626216_image2_1.jpg,경북_안동_가경재_사랑채(아랫방)03,Type3,http://tong.visitkorea.or.kr/cms/resource/15/2626215_image2_1.jpg,경북_안동_가경재_사랑채(아랫방)02,Type3,http://tong.visitkorea.or.kr/cms/resource/14/2626214_image2_1.jpg,경북_안동_가경재_사랑채(아랫방)01,Type3,,,,,,
2465071,32,46593,군불 황토 아랫방,0,0,3,3,100000,100000,100000,100000,,,,,Y,Y,,Y,Y,Y,Y,,,Y,Y,0,http://tong.visitkorea.or.kr/cms/resource/23/2626223_image2_1.jpg,경북_안동_가경재_군불황토(아랫방)05,Type3,http://tong.visitkorea.or.kr/cms/resource/22/2626222_image2_1.jpg,경북_안동_가경재_군불황토(아랫방)04,Type3,http://tong.visitkorea.or.kr/cms/resource/19/2626219_image2_1.jpg,경북_안동_가경재_군불황토(아랫방)01,Type3,,,,,,
142785,32,11432,스탠다드 더블,7,0,2,2,98000,98000,98000,98000,"※ 위 정보는 2021년 08월에 수정된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,Y,,Y,Y,,Y,Y,Y,Y,,,,Y,23,,,,,,,,,,,,,,,
142785,32,11433,스탠다드 트윈,10,0,2,2,108000,108000,108000,108000,"※ 위 정보는 2021년 08월에 수정된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,Y,,Y,Y,,Y,Y,Y,Y,,,,Y,33,,,,,,,,,,,,,,,
142785,32,43642,디럭스 더블,10,0,2,0,108000,108000,108000,108000,"※ 위 정보는 2021년 08월에 수정된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,Y,,Y,Y,,Y,Y,Y,Y,Y,,,Y,33,,,,,,,,,,,,,,,
142785,32,11431,주니어 스위트,0,0,3,3,128000,128000,128000,128000,"※ 위 정보는 2021년 08월에 수정된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",,Y,,Y,Y,,Y,Y,Y,Y,Y,,,Y,0,,,,,,,,,,,,,,,
142785,32,11430,로얄 스위트,10,0,3,3,138000,138000,138000,138000,"※ 위 정보는 2021년 08월에 수정된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,Y,,Y,Y,,Y,Y,Y,Y,Y,,,Y,33,,,,,,,,,,,,,,,
2671267,32,51712,아쟁,0,0,2,4,60000,90000,60000,70000,,Y,,,Y,Y,,Y,Y,Y,Y,,,Y,,0,,,,,,,,,,,,,,,
2671267,32,51713,해금,0,0,2,3,50000,70000,50000,70000,,Y,,,Y,Y,,Y,Y,Y,Y,,,Y,Y,0,,,,,,,,,,,,,,,
2671267,32,51714,비파,0,0,2,3,50000,70000,50000,70000,,Y,,,Y,Y,,Y,Y,Y,Y,,,Y,Y,0,,,,,,,,,,,,,,,
2671267,32,51715,거문고,0,0,2,5,80000,110000,80000,110000,,Y,,,Y,Y,,,Y,Y,Y,,,Y,Y,0,,,,,,,,,,,,,,,
2671267,32,51716,가야금,0,0,2,5,80000,110000,80000,110000,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
2627867,32,53284,살림채,0,0,25,35,630000,900000,0,0,,,,,Y,Y,,,Y,Y,Y,,Y,,Y,0,,,,,,,,,,,,,,,
2627867,32,53285,별서정,0,0,25,35,585000,990000,0,0,,,,,Y,Y,,,Y,Y,Y,,Y,,Y,0,,,,,,,,,,,,,,,
2627867,32,53286,강빛바람,0,0,20,25,435000,650000,0,0,,,,,Y,Y,,,Y,Y,Y,,Y,,Y,0,,,,,,,,,,,,,,,
2627867,32,53287,가람나무 101/102,0,0,0,0,191400,330000,0,0,,,,,Y,Y,,,Y,Y,Y,,Y,,Y,0,,,,,,,,,,,,,,,
2627867,32,53288,가람나무 301/302,0,0,10,15,226200,385000,0,0,,,,,Y,Y,,,Y,Y,Y,,Y,,Y,0,,,,,,,,,,,,,,,
2627867,32,53289,별채 101/102/201/202/203,0,0,2,4,87000,165000,0,0,,,,,Y,Y,,,Y,Y,Y,,Y,,Y,0,,,,,,,,,,,,,,,
2627867,32,53290,별채 204,0,0,5,10,147900,230000,0,0,,,,,Y,Y,,,Y,Y,Y,,Y,,Y,0,,,,,,,,,,,,,,,
